object1,object2,morph1,morph2,comments,stage,u_app_1,g_app_1,r_app_1,i_app_1,z_app_1,u_app_2,g_app_2,r_app_2,i_app_2,z_app_2,u_app_err_1,g_app_err_1,r_app_err_1,i_app_err_1,z_app_err_1,u_app_err_2,g_app_err_2,r_app_err_2,i_app_err_2,z_app_err_2,u_abs_1,g_abs_1,r_abs_1,i_abs_1,z_abs_1,u_abs_2,g_abs_2,r_abs_2,i_abs_2,z_abs_2,plate1,mjd1,fiberid1,plate2,mjd2,fiberid2,specz1,specz2,photoz1,photoz2,ra1,ra2,dec1,dec2,vote1,vote2,kmass1,kmass2,kmass_err1,kmass_err2
587722983377666329,587722983377666304,e,e,,2,19.3535,17.2435,16.1658,15.6687,15.2459,19.5909,17.6506,16.6147,16.0981,15.7435,0.053256,0.00522943,0.00371693,0.00359278,0.00757354,0.0584343,0.0063797,0.00449995,0.00428368,0.00995525,-18.7298,-20.5494,-21.3082,-21.6692,-21.9953,-18.6719,-20.3251,-21.0486,-21.4192,-21.6722,344,51693,594,345,51690,399,0.0744968,0.0759254,0.0772714,0.0835857,241.66371,241.66374,0.03296705,0.034927249,0.523079,0.62965,11.1088,10.9801,0.0601147,0.0456162
587722983882686583,587722983882686592,eu,e,,2,19.1229,17.3152,16.3172,15.8413,15.5206,18.5154,16.6382,15.6533,15.2432,14.8818,0.0398186,0.00550091,0.00391392,0.00388428,0.00715051,0.0290273,0.00406848,0.00305519,0.00312855,0.00531418,-19.9596,-21.6605,-22.3501,-22.7206,-22.9843,-19.5137,-21.2519,-22.0023,-22.352,-22.6756,279,51984,425,-9999,-9999,-9999,0.077432,-9999.0,0.143406,0.0955869,168.80379,168.80287,0.59285289,0.59007066,0.542576,-9999.0,10.9604,11.2207,0.0637864,0.0447748
587722983888257100,587722983888257152,su,s,,2,19.0901,17.0619,16.1045,15.6577,15.3381,19.8137,18.1386,17.2419,16.7402,16.5543,0.0429335,0.00485152,0.00358275,0.00369155,0.0066041,0.0858342,0.0105647,0.00758995,0.00773199,0.0176612,-18.885,-20.7897,-21.5237,-21.9184,-22.2072,-19.239,-20.8557,-21.481,-21.8768,-22.0058,286,51999,488,-9999,-9999,-9999,0.0608341,-9999.0,0.0958056,0.149017,181.52448,181.52415,0.46385905,0.46591502,0.489366,-9999.0,10.8852,10.2982,0.0679948,0.0586234
587722983890944072,587722983890944128,e,e,good_but_2big,2,16.3136,14.3609,13.482,13.0519,12.7492,17.6952,15.7076,14.8648,14.4531,14.082,0.0107826,0.00205403,0.00179992,0.00181594,0.00258956,0.0175168,0.00281948,0.00235229,0.00240482,0.0036973,-20.518,-22.3855,-23.1211,-23.5088,-23.8046,-18.4596,-20.3841,-21.115,-21.4907,-21.8541,290,51941,344,289,51990,600,0.0230855,0.0231079,0.0627221,0.0479331,187.78488,187.79602,0.61370295,0.60622311,0.431757,0.0786597,10.9094,10.4231,0.0667284,0.0442624
587722983891271865,587722983891271808,s,s,,1,17.9188,16.3611,15.6403,15.2459,14.949,18.5011,16.8025,15.8975,15.4548,15.1466,0.01851,0.00347055,0.00294214,0.00307106,0.00550813,0.0243584,0.00402731,0.00314729,0.00322111,0.00555923,-18.2337,-19.7047,-20.3525,-20.6965,-20.9817,-20.0141,-21.6251,-22.3039,-22.666,-22.929,290,51941,423,-9999,-9999,-9999,0.0441613,-9999.0,0.0481549,0.121514,188.52196,188.52768,0.48102909,0.48114488,0.446835,-9999.0,10.4249,10.5515,0.0420216,0.0378862
587722983895924839,587722983895924864,s,s,,2,17.8146,16.811,16.4107,16.0835,15.9033,19.4127,18.4011,17.874,17.5367,17.4442,0.0152921,0.00399346,0.00381172,0.00423253,0.00941992,0.0468541,0.0110735,0.00946385,0.0108512,0.0287795,-20.0013,-20.8967,-21.2781,-21.4143,-21.5961,-19.2655,-20.2904,-20.7223,-20.8768,-20.923,295,51985,595,-9999,-9999,-9999,0.0812854,-9999.0,0.099104,0.145075,199.17114,199.16899,0.58908474,0.58800882,0.437297,-9999.0,10.4248,9.93656,0.0419164,0.0368661
587722983899791506,587722983899791488,s,s,,2,18.0153,16.6499,16.1263,15.7303,15.4777,18.2714,17.0067,16.3604,15.9568,15.7725,0.0266245,0.00502519,0.00458551,0.00453622,0.00966342,0.0290658,0.0074089,0.00629289,0.00632515,0.011626,-19.411,-20.6475,-21.1052,-21.3704,-21.5181,-20.0538,-21.2518,-21.7748,-22.0392,-22.1039,300,51943,592,-9999,-9999,-9999,0.0480709,-9999.0,0.0800082,0.116907,207.98492,207.98273,0.55110866,0.5499053,0.77504,-9999.0,10.1642,10.2461,0.0564676,0.0386291
587722983902609555,587722983902609536,e,e,,2,20.0236,18.3005,17.4181,16.9535,16.9063,18.6046,16.7799,15.9166,15.5018,15.1735,0.0696851,0.00920769,0.00638841,0.00652442,0.0158574,0.0283251,0.00421411,0.00321575,0.0033613,0.00587735,-19.3069,-21.043,-21.6588,-21.9899,-21.9472,-17.9567,-19.6883,-20.4202,-20.7844,-21.0988,303,51615,501,304,51957,389,0.0771861,0.0773577,0.170861,0.0551442,214.30476,214.30354,0.53509635,0.53325427,0.40409,0.263525,10.3423,11.0737,0.0544272,0.0439477
587722983902675104,587722983902675072,eu,su,,2,19.077,17.2738,16.3129,15.8896,15.5508,20.4492,18.7104,17.8868,17.4939,17.1245,0.028562,0.00471351,0.00347107,0.00355795,0.00596971,0.0621447,0.0102034,0.00639201,0.0067904,0.0127247,-19.086,-20.7607,-21.4898,-21.8462,-22.1427,-13.6461,-15.3317,-16.0813,-16.445,-16.7915,303,51615,552,304,51957,422,0.052806,0.0527036,0.101684,0.0193234,214.50905,214.5074,0.48422593,0.48310879,0.718243,0.407023,10.5847,9.8242,0.0541281,0.0420365
587722983915716721,587722983915716736,s,s,,2,18.9002,17.836,17.1152,16.6116,16.3138,18.2095,16.7645,16.0535,15.5927,15.2578,0.0298359,0.00691039,0.00555742,0.0056397,0.0113782,0.0281957,0.00492829,0.00407608,0.00417779,0.0081245,-20.7245,-21.7804,-22.2226,-22.5161,-22.6556,-20.095,-21.3588,-21.8867,-22.1879,-22.3884,346,51693,491,-9999,-9999,-9999,0.0442783,-9999.0,0.178028,0.100333,244.2827,244.28026,0.44840577,0.45015863,0.821802,-9999.0,10.0548,10.3312,0.0291296,0.0380442
