objid,ra,dec,length_avg,length_stdev,width_avg,width_stdev,length_scaled,bar_meas
587725552283877471,170.50476,67.44808,12.757592,4.2552067,2.5255068,1.5416787,0.56051905,4
587725552290889892,211.4537,65.787223,9.1929374,1.3569126,1.8071107,0.86231423,0.49996913,4
587725552812032218,132.65394,57.359662,5.7125196,0.59580909,1.6072313,0.33182751,0.40933446,3
587725552813539432,137.22081,59.722576,7.0050162,0.26335743,1.4058996,0.49760911,0.29572589,3
587725774530740521,116.46602,41.075684,7.3282745,1.1664198,1.8631233,0.40159444,0.55117089,3
587725774533624013,121.40795,46.70741,5.2191274,0.89794713,0.95596893,0.52694453,0.67224469,5
587725774534606938,123.1164,48.657293,11.073702,0.81172808,2.8533712,0.64499743,0.54774024,3
587725775602385217,112.47625,37.451771,8.7076266,0.88269959,2.2028765,0.74859217,0.32567447,5
587725775602909628,113.07655,38.536663,6.5143768,0.2354375,1.738294,0.86373476,0.3622244,3
587725775605465446,117.03861,43.590676,9.5695005,0.67740881,1.4947257,0.33780921,0.52108289,3
587725775606644913,118.91731,45.942952,8.5992988,2.1407026,2.540454,1.4164563,0.312906,4
587725775606644947,118.85124,45.84684,5.9602999,2.1075926,1.2150992,0.39785009,0.35620796,3
587725816405033006,143.21107,59.744649,14.033562,3.1738121,2.8696167,0.9786705,0.62207808,5
587725816405033007,143.18363,59.736247,5.723858,1.0411958,1.5208817,0.13016614,0.46257639,3
587725816407195676,151.67411,62.528141,9.322468,0.52323028,1.7267432,0.49601354,0.64168899,3
587725816407195786,151.75833,62.605536,9.0866733,2.1504335,1.4467217,0.63602367,0.61880759,3
587725816408768584,158.82998,64.177489,10.079915,2.2722166,2.9672666,1.5514274,0.34837379,5
587725816419713145,216.99046,62.935922,8.4266906,1.7587947,1.5466056,0.62451668,0.41086847,5
587725816420433981,219.88794,62.002921,8.5512705,1.6738579,1.5216603,0.55836541,0.4516428,5
587725816423579663,231.27093,57.732878,11.882638,0.6471453,2.4383038,0.55765253,0.71832009,3
587725816948654095,174.36693,66.541072,10.295694,1.3462983,2.3606028,0.33532256,0.4167776,3
587725816950095959,182.72316,66.924044,11.809609,3.9475639,1.736192,0.33536102,0.57272961,3
587725816954880193,209.45917,65.012031,4.864388,1.3150635,0.74103227,0.40606094,0.34903016,4
587725816958418968,224.84898,61.047048,16.645152,4.0459055,3.020608,1.5146109,0.71648683,3
587725817483362369,162.45015,65.700086,8.8835193,1.9770728,1.5364702,0.98540428,0.41524369,5
587725817492275444,212.37165,64.913932,11.975146,1.5091199,1.7613823,0.26105145,0.48101186,5
587725818018726032,154.35586,64.716516,17.448523,2.1592693,2.832373,0.6618423,0.52090713,4
587725818022133944,172.34204,67.32135,5.6121324,1.1119605,1.7813089,0.75199707,0.55901593,3
587725818033733689,231.43497,59.352599,9.8276016,0.79004227,3.07276,1.8170843,0.51366391,4
587725818033799331,231.65465,59.232469,13.965418,1.4341378,3.2944701,1.6793613,0.60362859,4
587725818558349458,168.5165,67.369518,10.833721,1.2321854,2.0332255,0.5452783,0.49848085,4
587725818567393313,219.57741,64.171525,9.6669984,1.981882,1.414867,0.43643168,0.65358679,3
587725818568376485,223.99274,62.883439,5.8394314,2.3675575,0.98271104,0.43831716,0.38448556,3
587725818572374119,237.65447,56.797264,7.9657391,2.0304994,2.3696939,1.9026516,0.33311635,4
587725818575388801,244.97292,51.546518,15.642863,1.5607473,3.5088458,1.1075529,0.38229729,5
587725819089453131,140.97882,61.459975,10.179021,0.44045755,1.5988853,0.37349162,0.56694624,5
587725819097907301,184.68876,68.602486,13.593277,3.3418341,2.3619889,0.91461854,0.46795534,3
587725979616870499,132.44773,54.354318,6.2781756,0.82471495,2.1739432,1.1910796,0.3592186,3
587725980152627399,129.20182,52.715482,10.52175,1.2877909,1.6140883,0.48291851,0.50946263,4
587725980153348241,130.92375,54.026282,5.7360806,0.4970658,1.6908341,0.68686001,0.39042013,4
587725980691267704,133.1213,56.112687,9.1063557,2.0316471,2.3199803,0.55269131,0.35046784,5
587725981763567802,128.11197,54.143158,6.9094521,2.6635172,1.7937029,1.2733383,0.44895743,3
587725981765599336,133.87822,57.564576,6.0664862,1.0792171,2.4391656,0.13730413,0.40064373,4
587725992498495708,245.41084,48.450734,11.93388,1.8683547,2.1481697,0.8345128,0.5988568,5
587725993035038777,245.08952,49.269167,8.1236015,2.4349388,3.1104451,1.2108199,1.0708776,3
587725993041002548,255.42531,37.860817,4.3516892,0.56524545,1.3348011,0.66898451,0.47511523,3
587725993573679329,249.08091,46.245189,3.0466809,1.1807019,0.89748127,0.57147218,0.21610531,3
587725993574138125,249.92757,45.296153,5.8614846,2.6875531,1.7842538,0.69559234,0.22889612,3
587725993574924431,251.45849,43.866474,9.191174,0.77588753,1.823028,0.7320728,0.38021593,6
587725994108780659,246.37702,49.840261,15.163259,0.66921332,2.8636411,1.1896763,0.6134435,5
587725994109567231,247.74215,48.280269,4.9326991,1.4826839,1.2024079,0.41654595,0.39170003,5
587725994110812271,250.27736,46.004067,4.8789202,0.58444311,0.96849987,0.27517381,0.51614234,5
587725994114416881,256.0524,38.889044,7.0977931,1.1222889,1.6771162,0.60209476,0.63493284,4
587725994650042688,254.61746,41.677676,9.2853538,0.43488015,2.3856759,1.2906816,0.44324461,4
587726013999415453,189.6608,1.472935,15.739158,1.660873,2.8161569,0.88556274,0.49217353,5
587726014005641268,203.85231,1.4105946,9.0402618,0.81438718,2.2557184,0.61018719,0.43343036,5
587726014008852696,211.29267,1.4014066,4.9791268,1.1786808,1.0706345,0.51899669,0.23437964,3
587726014010163358,214.25274,1.2956443,4.8598555,1.0947677,1.7340414,0.36377773,0.2182939,5
587726014011015340,216.13822,1.1773189,11.143668,1.0857842,2.8554457,0.94534011,0.36007291,5
587726014011408563,217.07668,1.1295692,5.9793971,1.8051661,2.6469231,1.2303763,0.25572525,4
587726014011736154,217.85247,1.2343885,10.466717,1.3442802,3.6404273,1.1435816,0.7072892,5
587726014542184502,203.12819,1.847704,4.6933989,0.88905652,0.94052151,0.2186869,0.44990296,4
587726014546968664,214.0951,1.5911753,21.569953,2.4209949,3.9393415,1.0174138,0.70411324,6
587726014550114564,221.25093,1.4085369,7.2089299,1.2914346,1.2217921,0.35151339,0.43502025,5
587726015087247538,221.86541,1.9181013,5.6328828,1.4458519,1.6876337,0.75661753,0.5722627,3
587726015089672356,227.46399,1.7789905,11.911925,2.0187379,2.6254566,1.2335959,0.47634632,5
587726015606685723,182.04629,2.8782848,6.8526361,1.4557365,0.97340922,0.23377047,0.67256207,3
587726015622349017,217.79349,2.4018064,5.4065493,0.68561381,1.1203583,0.52298831,0.34971449,3
587726015626936476,228.36801,2.1338203,8.0461778,2.0381214,1.3830149,0.79303124,0.41719473,4
587726015626936666,228.37498,2.1041581,6.4281458,0.63389516,1.8297731,0.41391139,0.40640761,5
587726015627722980,230.18914,1.9872421,11.922213,1.3047817,2.0581011,0.68568163,0.42197833,5
587726016148406440,193.16994,3.179538,9.7829019,1.80791,2.2829461,1.2030965,0.50542277,4
587726016150044766,196.9324,3.0775934,16.181942,1.3421684,2.8742036,0.51906768,0.73846689,3
587726016150700216,198.40099,3.1507374,4.3648965,0.50516284,1.7847411,0.36614433,0.26717021,3
587726016151027756,199.14934,3.0643911,7.4401868,1.3203637,1.1878347,0.3997332,0.51339082,5
587726016152797206,203.10459,3.0612437,6.5418337,0.6463628,2.2431737,1.5948173,0.88254892,3
587726016154763381,207.58634,3.014947,5.4677456,0.35080719,1.3358204,0.44970543,0.44788349,3
587726016158826512,216.89851,2.9544856,5.7677353,0.87031636,1.5161945,0.4777788,0.3874706,5
587726016165445924,232.04916,2.5300738,7.2716736,2.3085073,1.7077651,0.56268915,0.46834524,3
587726016690192627,204.42546,3.4725371,4.4340463,0.3580575,0.99549934,0.63586173,0.30448917,5
587726016691961925,208.42466,3.3774064,5.8063992,0.83665577,0.97644278,0.12935119,0.39619472,3
587726016694976519,215.23319,3.2380155,4.8156713,1.5102686,0.7752803,0.41206942,0.95789811,3
587726031167946898,164.3231,1.2569861,7.110994,1.4621922,1.7577757,0.98631712,0.50817607,5
587726031177121931,185.35034,1.2911359,1.0954939,0.15486296,0.40905167,0.1215208,0.5080783,3
587726031690793263,132.30575,0.85187552,7.5061926,1.1419788,1.8684282,0.42795144,0.43663416,4
587726031691514192,133.9486,0.79428453,19.838582,2.2577803,3.3475892,0.77776799,0.84979676,3
587726031696035891,144.25437,1.0954782,12.166154,1.203392,4.255262,1.4677783,0.83590939,5
587726031698657453,150.21025,1.3355836,3.5805369,0.89642073,0.56443767,0.20466286,0.31175037,3
587726031701934207,157.69836,1.4838799,12.657753,0.81524046,3.5580856,1.3545064,0.59065227,3
587726031707701319,170.86514,1.7374389,7.2288739,1.5816064,1.2174023,0.36314484,0.50944748,3
587726031710912518,178.181,1.7407683,5.4550294,1.0739677,1.1718227,0.49874299,0.36422842,5
587726031712092319,180.9349,1.8359778,8.1368795,1.8225522,1.5613193,0.73319328,0.56632944,4
587726031717597310,193.47058,1.6508414,7.7099185,2.0409739,1.1500726,0.38010772,0.51564394,4
587726031718907924,196.49223,1.7925319,4.4831433,0.83622674,0.99746669,0.7580395,0.43988767,4
587726031719170152,197.06946,1.6617687,8.0819467,2.5226292,2.2259479,0.97438705,0.54182282,4
587726031719301138,197.38805,1.6730622,10.133046,1.5784332,2.779681,0.93963806,0.29832225,5
587726031721791515,203.08494,1.566871,8.8163938,0.8375374,1.4033289,0.4360231,0.35147402,4
587726032231399428,140.73723,1.4339987,4.9301877,0.47478145,1.4258777,0.76999373,0.48769311,4
587726032231792788,141.67526,1.4868521,9.5850915,1.8018864,2.0680092,1.0667575,0.5039719,3
587726032236576908,152.57361,1.7456352,4.3929983,1.893567,0.90699564,0.17605054,0.4144189,3
587726032238674079,157.41966,1.9319718,8.7434732,0.75607292,3.4011299,1.0986395,0.61366321,6
587726032242016326,165.13548,2.116062,16.411559,2.0368756,3.2861492,0.97068721,0.54078477,5
587726032242868344,166.98058,2.0132587,9.2387653,2.0623181,2.1979602,0.78310268,0.30851872,6
587726032254599311,193.85812,2.2312317,8.686009,1.6273892,2.198744,0.79251255,0.25688781,4
587726032260366467,206.97373,1.9135955,10.197219,1.6829665,3.1507211,1.613733,0.42120896,4
587726032267182097,222.52545,1.7154691,8.6506017,1.1117833,2.2101786,0.93255142,0.55145931,4
587726032268034251,224.53586,1.5486055,7.751239,1.0681103,1.6282267,0.56661157,0.67553221,4
587726032268296444,225.1621,1.6967609,6.99767,1.7470805,1.3781984,0.78911553,0.60117828,9
587726032773447824,152.5877,2.1808878,12.353893,1.8387832,2.7268972,0.62250529,0.55938317,6
587726032777183276,161.22574,2.3175908,12.718144,2.1325175,3.7969765,1.4576659,0.54496981,5
587726032788127876,186.21555,2.6250883,3.7537775,1.446277,1.2950217,0.99484584,0.26872772,4
587726032792911975,197.09944,2.5324674,7.9907715,0.85258447,0.9988462,0.10657396,0.48726967,3
587726032793042979,197.42428,2.4579374,7.336616,0.84140567,1.2074665,0.32840272,0.29920332,3
587726032797696100,208.09509,2.345817,3.5120188,0.65448685,1.3290147,0.36454181,0.27410626,4
587726032800448715,214.36199,2.2010563,6.9620892,2.3008522,1.5586599,0.45167439,0.30161788,5
587726032805298456,225.49371,2.0227838,11.165166,5.7981491,2.6021786,1.7669064,0.55657832,3
587726033300881540,131.11856,2.063963,9.0593785,0.64340997,1.5907517,0.4453482,0.82055567,4
587726033305731170,142.18439,2.3345141,6.2057689,2.3213898,2.2356079,1.2586664,0.2642683,3
587726033307959413,147.28655,2.4808303,5.8252906,0.76874897,1.5831162,0.79328439,0.36568651,4
587726033318117592,170.48114,2.9726158,11.938756,1.3236035,3.2942074,1.3840254,0.49505674,6
587726033318641811,171.60876,2.9327415,7.998273,0.76669668,2.2860004,0.70785985,0.26275417,3
587726033319559179,173.69273,2.9210519,6.0807343,0.9389577,1.626718,0.5222897,0.46980731,5
587726033334632485,208.23565,2.8142743,13.283555,0.91950695,4.4274792,1.6195396,0.56953023,5
587726033846272089,150.52933,3.057681,10.713176,0.71893561,2.1536372,0.98548224,0.66730375,5
587726033846730839,151.53482,2.9690427,7.8095787,0.61214214,1.935078,1.0151099,0.62485791,5
587726033852104842,163.85473,3.279914,8.5313849,0.65034746,2.8018342,0.67664203,0.27353839,4
587726033869406266,203.45772,3.3158427,7.0991262,1.024227,2.2444776,0.83370293,0.63060501,5
587726033871241253,207.63388,3.1941603,9.6994724,1.5229137,1.7247797,0.62813882,0.40149902,5
587726033873862912,213.6775,3.1094247,6.6200646,0.37638948,2.0352733,0.75018383,0.50020655,5
587726033875959814,218.357,3.0933109,5.8189251,0.60637714,1.4308081,0.56222311,0.45879757,4
587726100412432418,219.82479,3.3683527,17.585605,2.2905707,6.3694822,2.714675,0.66074661,5
587726100412563492,220.1579,3.3770271,12.979477,1.526444,2.9365891,0.63891084,0.73081382,4
587726100412563650,220.12251,3.4327512,6.2710559,0.99634995,1.175812,0.78547022,0.49018497,4
587726100948648105,218.32296,3.9034011,7.8824939,3.2087221,1.4527708,0.81063921,0.31737626,4
587726100949106753,219.43898,3.8070661,9.0604384,0.72887791,2.152159,0.59992627,0.44879996,4
587726100949434515,220.11459,3.6855331,7.8639501,0.99582684,1.6968135,0.61838799,0.569963,9
587726100949762275,220.96452,3.7145899,3.985578,0.59658073,1.0993042,0.38147194,0.43033709,5
587726100954808486,232.38609,3.0531393,6.1671646,1.8171307,2.2873006,0.87090489,0.42380454,3
587726101750546619,210.55081,4.5857266,8.7134094,0.85866623,2.0338869,0.60648263,0.28230511,5
587726102021734490,216.8734,4.7797417,8.6073555,0.94802753,2.2977037,0.23098676,0.36042155,5
587726102558408821,216.53495,5.2379315,8.1230628,1.3545154,1.6789867,0.56135731,0.29235108,4
587727866183745776,122.93116,41.554987,9.9384772,1.8095493,2.0362572,0.7842261,0.46699371,4
587727867256307774,119.98467,39.770263,4.1627386,0.32400991,0.8792633,0.23160944,0.85473767,3
587727942422495248,148.04776,1.0954405,9.7728182,0.6692447,1.7738428,0.59610288,0.64344084,5
587727942423281732,149.95119,1.0951566,5.5286934,0.22878474,1.544518,0.57797591,0.49950929,3
587727942952419348,132.16756,1.0387847,16.602952,0.65153804,2.9440156,0.716208,0.57157575,5
587727943489945860,133.64997,1.4349877,8.3092349,1.835485,1.8376412,0.92262194,0.39077675,5
587727943495057521,145.31588,1.8996859,4.9407075,1.3875616,0.71349581,0.3195956,0.26933113,3
587727944029896720,140.67041,2.1115432,11.793266,0.85285127,2.4387113,0.80824461,0.56008056,5
587727944029962369,140.90209,2.1364745,4.0296073,0.35336663,1.1863264,0.64483541,0.21210966,3
587727944029962495,140.95009,2.1127484,5.9972765,1.1147471,1.4390897,0.72417582,0.35001926,5
587727944034549891,151.32818,2.4957283,6.5080285,1.000217,1.2835624,0.61354725,0.56027428,3
587727944567816336,143.17624,2.5335919,12.814242,1.8633526,2.721227,0.60317155,0.49960901,6
587727944570830915,150.03378,2.7651355,4.2316629,1.2008883,1.4457203,0.55135573,0.54704986,4
587728308024639551,159.5215,1.7451112,20.652149,1.6285951,3.784351,1.3763828,0.56321346,5
587728308026998788,164.79753,1.8091913,11.397088,1.5305332,2.3627605,0.82215684,0.50136495,4
587728308027195588,165.38121,1.7575619,9.5994223,2.5327766,1.6614713,0.46691014,0.33843117,4
587728308027981894,167.15837,1.8764588,13.910682,1.0100282,4.5930097,2.4134763,0.5559829,5
587728308564787244,166.95469,2.3566484,11.300686,1.9403525,2.5867601,0.99873037,0.62677651,5
587728309101658250,166.88605,2.7092758,5.6964982,0.89056047,1.4740815,0.99007099,0.44001861,4
587728309101854898,167.38968,2.7413454,4.9218442,0.85328945,1.2726097,0.32363361,0.22310256,3
587728309104541888,173.58355,2.7737592,14.075326,1.0981354,3.6931599,1.777758,0.5106421,4
587728309105328337,175.35141,2.7132803,9.7732783,1.2365837,1.8563235,0.95095647,0.46352267,4
587728309636300808,161.79483,2.9970247,16.575194,1.5239874,3.7616258,0.41284773,0.42978901,5
587728309639774260,169.85925,3.2016005,6.8656516,1.0614846,1.4848484,0.095562822,0.58155172,3
587728309640167441,170.65692,3.1193267,12.854833,1.8145208,3.5791721,1.3165556,0.63155326,6
587728309640429581,171.23083,3.1685623,10.138737,0.82083045,2.1110835,0.24097552,0.40866262,4
587728310172319822,159.8362,3.3692328,13.159869,2.8500681,3.6607321,1.0466345,0.68039292,5
587728310178807862,174.72889,3.5808762,11.924897,0.89854371,1.9754514,0.17030481,0.67201766,4
587728665578570003,122.61589,41.949693,7.5841493,0.98982583,2.1522443,1.0355165,0.45397574,4
587728665580011573,125.51043,44.456993,7.0739991,0.61934736,2.1498237,0.19894317,0.59973437,3
587728665580601598,126.87219,45.512936,11.902809,2.2477604,3.3438021,0.8773239,0.47366598,4
587728668268167318,122.24499,39.858075,2.7917507,0.45544818,0.93806067,0.39996901,0.22366977,5
587728668271313137,128.49985,45.392272,6.5110334,1.476798,2.0830186,1.022927,0.46933332,3
587728668803006540,118.34484,36.274382,9.9019529,1.7854347,2.3863139,0.37073053,0.39398421,3
587728668805759146,123.13358,41.296701,9.3516186,1.6406249,2.3875062,0.91539088,0.4807315,4
587728669341843479,121.12959,40.206035,10.082756,1.4120167,1.8395556,0.29731137,1.1378982,5
587728669342564757,122.58065,41.572932,8.917909,0.9823987,2.7376383,1.6742756,0.41571053,3
587728669874126911,113.40865,31.772728,5.2120551,1.8366811,1.8544967,0.41529415,0.31551398,3
587728669878648987,120.64489,40.421281,19.896601,2.3945121,7.1613414,3.3749339,0.80387435,5
587728670414733470,118.85538,39.186076,8.0803378,0.62761758,1.8999321,0.60656362,0.34228679,3
587728670419190011,127.59412,47.156332,10.291732,2.0362639,2.4874107,1.2811547,0.59556399,3
587728676855021593,172.37978,63.235052,5.3181576,1.7217423,2.1081637,0.95353369,0.35801213,4
587728676860854290,201.93265,62.766574,10.349776,1.6578267,2.0504397,0.60786415,0.46853031,5
587728677391368413,169.66863,63.45433,10.46139,2.0549445,2.4256661,1.8886182,0.44973086,3
587728677391630467,170.83316,63.654171,5.7375845,1.2011098,1.6082572,0.63295815,0.32431271,4
587728677394317463,184.7085,64.352817,7.5350207,0.87127528,2.2318754,1.1553847,0.5930111,5
587728678465110127,169.07797,64.237089,7.6149133,1.5797793,1.4986866,0.61871899,0.36028345,5
587728678466224157,174.8445,64.803646,6.9930371,1.0448843,1.4533184,0.69379017,0.41715471,4
587728679539245209,170.77889,65.251857,10.662757,1.6590968,2.2310491,0.96558199,0.2918866,5
587728679540555914,177.72099,65.779641,9.189954,1.2541991,2.101907,0.75508561,0.36335861,3
587728679541604461,183.816,65.985322,3.3342791,0.47195579,0.77658561,0.33182847,0.27431759,4
