Target	Best MR	Min MR	Max MR	r_min (kpc)	Min r_min (kpc)	Max r_min (kpc)	t_min (Myr)	Min t_min (Myr)	Max t_min (Myr)	ecc	Min ecc	Max ecc	beta	Min beta	Max beta
Arp 302	2.692 +- 1.014	0.143	30.496	68.384 +- 27.017	0.098	141.524	100.473 +- 844.061	0.000	8649.314	28.310 +- 12.875	0.002	668.570	0.017 +- 7.741	0.002	8194.417
Arp 242	0.597 +- 0.522	0.174	6.803	15.990 +- 5.001	0.081	150.089	429.607 +- 192.852	0.000	8657.975	0.702 +- 0.274	0.001	198.824	0.655 +- 2.415	0.005	12756.872
Arp 72	1.379 +- 0.956	0.599	10.777	14.658 +- 1.651	0.213	157.070	162.835 +- 83.128	0.000	8652.778	4.699 +- 1.909	0.002	5138.944	0.207 +- 0.191	0.000	736.442
Arp 101	0.864 +- 0.031	0.097	9.110	4.873 +- 1.353	0.137	71.771	214.804 +- 20.872	0.000	8642.384	0.636 +- 0.158	0.014	680.411	4.460 +- 2.730	0.003	3324.229
Arp 58	5.944 +- 1.206	0.088	9.070	21.807 +- 1.751	0.245	148.497	256.379 +- 10.929	0.000	8657.975	0.580 +- 0.169	0.001	304.237	0.713 +- 0.042	0.004	1843.127
Arp 105	0.211 +- 0.035	0.019	393.639	21.427 +- 3.171	0.069	120.486	278.898 +- 30.897	0.000	8652.778	1.784 +- 0.160	0.002	804.968	0.649 +- 0.223	0.002	8977.519
Arp 97	0.781 +- 0.113	0.415	9.752	17.261 +- 3.428	0.085	146.805	325.670 +- 35.396	0.000	8656.243	0.824 +- 0.331	0.001	1434.159	0.281 +- 0.202	0.002	3633.394
Arp 305	1.809 +- 0.097	0.194	27.380	12.595 +- 2.398	0.164	91.844	472.915 +- 45.624	0.000	6423.324	1.549 +- 0.556	0.006	1323.764	0.590 +- 0.219	0.001	1759.599
Arp 106	6.686 +- 0.432	1.194	14.136	7.088 +- 1.134	0.083	147.802	124.725 +- 45.391	0.000	8657.975	0.626 +- 0.214	0.000	179.424	2.988 +- 1.579	0.004	11209.197
NGC 2802	2.436 +- 0.861	0.035	6.708	8.734 +- 0.840	0.150	140.689	91.811 +- 22.209	0.000	8657.975	2.821 +- 0.761	0.014	383.936	1.026 +- 0.572	0.002	3378.716
Arp 301	0.759 +- 0.524	0.016	284.456	16.455 +- 2.599	0.092	197.674	65.827 +- 59.043	0.000	8657.975	1.301 +- 0.558	0.000	882.459	0.930 +- 0.328	0.002	11681.497
Arp 89	1.655 +- 5.332	0.185	21.114	25.408 +- 4.280	0.153	147.430	452.127 +- 128.352	0.000	8657.975	0.987 +- 0.441	0.001	1136.358	0.292 +- 0.242	0.001	2150.949
Arp 87	0.868 +- 0.261	0.136	19.277	11.147 +- 2.234	0.122	138.027	329.135 +- 103.689	0.000	8538.447	1.806 +- 0.146	0.003	2021.211	0.522 +- 0.105	0.001	2485.946
Arp 191	0.602 +- 0.077	0.053	8.506	9.236 +- 2.566	0.160	230.897	147.244 +- 32.344	0.000	8657.975	1.295 +- 0.517	0.000	126.375	1.916 +- 2.567	0.003	4413.198
Arp 237	2.413 +- 0.317	0.214	6.025	3.621 +- 1.768	0.172	137.550	103.937 +- 33.587	0.000	8656.243	0.386 +- 0.119	0.001	241.766	13.322 +- 8.121	0.004	3083.534
Arp 181	0.563 +- 0.182	0.109	6.013	2.169 +- 0.136	0.065	148.946	20.787 +- 4.777	0.000	8657.975	0.336 +- 0.044	0.001	109.481	24.801 +- 3.903	0.002	21124.506
Arp 238	1.098 +- 0.364	0.197	5.019	13.540 +- 2.952	0.174	275.404	58.898 +- 13.132	0.000	8657.975	0.106 +- 0.336	0.001	192.612	1.900 +- 1.683	0.003	5201.787
Pair 42	2.099 +- 0.375	0.197	4.140	4.953 +- 1.116	0.110	263.861	50.236 +- 16.381	0.000	8657.975	0.471 +- 0.089	0.001	596.985	5.908 +- 8.829	0.002	11168.961
Arp 297	2.322 +- 0.170	0.068	77.628	18.567 +- 1.280	0.069	146.923	562.994 +- 54.050	0.000	8656.243	0.587 +- 0.026	0.001	937.365	0.576 +- 0.094	0.002	14854.786
NGC 5753/5	1.761 +- 0.963	0.082	18.461	8.824 +- 3.845	0.103	132.723	337.796 +- 93.307	0.000	8657.975	0.794 +- 0.292	0.000	2069.538	1.374 +- 1.092	0.001	5754.884
Arp 173	30.202 +- 55.784	0.138	1075.938	4.775 +- 5.144	0.223	98.984	174.961 +- 323.403	0.000	8637.188	0.341 +- 0.186	0.000	171.560	16.792 +- 6.935	0.007	4792.330
Arp 84	4.089 +- 0.959	0.037	271.690	4.606 +- 3.279	0.078	133.241	230.394 +- 31.216	0.000	8657.975	0.054 +- 0.309	0.004	2237.097	4.418 +- 1.349	0.001	10030.263
UGC 10650	0.945 +- 0.410	0.910	6.015	13.918 +- 3.706	0.067	143.050	452.127 +- 59.788	0.000	8654.510	0.604 +- 0.163	0.000	345.020	0.788 +- 2.122	0.003	19540.015
Arp 112	0.950 +- 0.229	0.007	149.897	5.867 +- 1.610	0.063	149.720	58.898 +- 59.145	0.000	8657.975	0.050 +- 0.141	0.000	171.140	5.684 +- 12.056	0.002	21353.400
Arp 274	3.239 +- 1.114	0.067	14.916	59.210 +- 19.783	0.312	142.069	0.000 +- 16.127	0.000	8638.920	16.797 +- 19.740	0.007	658.300	0.025 +- 0.076	0.003	773.381
Arp 146	0.833 +- 0.120	0.049	1.376	2.776 +- 1.767	0.180	146.276	102.205 +- 17.051	0.000	8657.975	0.233 +- 0.732	0.003	82.315	14.192 +- 7.284	0.004	2833.376
Arp 143	2.979 +- 0.910	0.063	13.720	12.117 +- 6.622	0.153	138.341	230.394 +- 79.302	0.000	8657.975	0.694 +- 0.526	0.000	1996.395	0.792 +- 0.220	0.001	2912.730
Arp 70	1.289 +- 1.232	0.016	319.669	19.671 +- 2.587	0.045	212.174	271.969 +- 37.856	0.000	8652.778	1.181 +- 0.290	0.001	1842.282	0.468 +- 0.162	0.001	47999.308
Arp 218	4.121 +- 1.406	0.149	43.927	6.002 +- 13.070	0.187	328.818	285.828 +- 163.671	0.000	8657.975	0.457 +- 0.333	0.001	1183.856	2.704 +- 6.180	0.001	1910.213
Violin Clef	0.643 +- 0.154	0.128	1.807	25.472 +- 6.627	0.262	148.960	159.370 +- 148.045	0.000	8652.778	2.523 +- 1.038	0.005	1369.829	0.240 +- 0.587	0.001	1213.433
Arp 148	0.388 +- 4.235	0.274	19.651	8.497 +- 5.781	0.123	146.496	38.110 +- 11.462	0.000	8495.140	12.908 +- 2.523	0.001	597.817	0.239 +- 0.311	0.001	3202.354
CGCG 436-030	3.722 +- 1.704	0.323	11.068	19.466 +- 7.886	0.134	95.978	263.308 +- 67.920	0.000	8647.581	0.977 +- 0.703	0.011	835.493	0.426 +- 0.930	0.002	2848.546
Arp 272	1.838 +- 1.976	0.140	18.966	8.654 +- 9.887	0.180	151.840	363.780 +- 113.956	0.000	8543.644	0.810 +- 1.474	0.003	913.581	1.002 +- 0.301	0.001	1273.594
ESO 77-14	1.311 +- 0.729	0.112	21.132	3.018 +- 0.957	0.026	149.208	93.544 +- 74.895	0.000	8656.243	0.782 +- 0.135	0.002	80.297	15.930 +- 12.601	0.002	51774.985
NGC 5331	1.608 +- 0.237	0.259	7.622	7.681 +- 23.754	0.220	173.170	119.528 +- 96.979	0.000	8590.416	1.998 +- 6.565	0.010	1432.837	1.202 +- 0.434	0.001	971.091
NGC 6786	2.438 +- 0.452	0.039	25.521	13.392 +- 2.421	0.064	346.368	511.025 +- 106.321	0.000	8657.975	1.108 +- 0.231	0.001	980.623	0.763 +- 0.229	0.003	18724.424
Arp 273	2.004 +- 2.250	0.040	23.218	37.833 +- 12.978	0.221	408.622	284.095 +- 214.862	0.000	8652.778	4.036 +- 1.309	0.007	1215.151	0.114 +- 0.246	0.001	1590.700
Arp 244	0.758 +- 0.397	0.076	16.571	1.572 +- 0.692	0.063	148.908	55.433 +- 14.895	0.000	2929.299	0.493 +- 0.139	0.001	464.457	36.021 +- 33.981	0.002	18465.811
