ID	SDSSID	PRI_DR7_ID	PRI_DR8_ID	SEC_DR7_ID	SEC_DR8_ID	PRI_DR7_U	PRI_DR7_G	PRI_DR7_R	PRI_DR7_I	PRI_DR7_Z	PRI_DR7_SPECZ	PRI_DR7_PHOTOZ	PRI_DR7_PHOTOZ2	PRI_DR8_U	PRI_DR8_G	PRI_DR8_R	PRI_DR8_I	PRI_DR8_Z	PRI_DR8_SPECZ	PRI_DR8_PHOTOZ	PRI_DR8_PHOTOZ2	SEC_DR7_U	SEC_DR7_G	SEC_DR7_R	SEC_DR7_I	SEC_DR7_Z	SEC_DR7_SPECZ	SEC_DR7_PHOTOZ	SEC_DR7_PHOTOZ2	SEC_DR8_U	SEC_DR8_G	SEC_DR8_R	SEC_DR8_I	SEC_DR8_Z	SEC_DR8_SPECZ	SEC_DR8_PHOTOZ	SEC_DR8_PHOTOZ2
27	587739810496708646	587739828210958448	1237665549435863188	587739810496708646	12376655317216133437	14.585646	13.861832	13.398314	13.292858	13.093025	0.010971	0.026767	0.0	14.41194	13.702876	13.221052	13.148395	12.944276	0.010977	0.175158	0.0	15.863363	15.232993	15.03921	14.947292	14.812962	0.011338	0.025198	0.0	15.864429	15.285676	15.135611	15.0635	14.977468	0.011285	0.036473	0.0
28	587739845393580192	587739845393580192	1237665566618484866	587742615635820725		16.37711	14.632433	13.787852	13.350015	12.966213	0.0	0.070946	0.0	16.164707	14.48899	13.660298	13.229266	12.858843	0.0	0.066306	0.0	16.802538	14.961546	14.112959	13.730242	13.429293	0.015501	0.068737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	587741391565422775	587741391565422762	1237667108501192836	587741391565422763	12376671085011928379	16.485966	14.903812	14.268603	13.9603	13.83468	0.03723	0.052848	0.0	16.703691	14.99561	14.313278	13.988321	13.797119	0.0	0.0	0.0	18.042519	17.316116	17.066708	16.822344	16.634344	0.037549	0.053498	0.0	18.554153	18.034952	17.895889	17.630709	17.560673	0.037534	0.079632	0.0
30	587741532784361481	587741532784361801		587741532784361477	12376672540092661850	23.384769	22.43078	22.465734	21.398809	20.788973	0.0	0.402679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.284681	14.354671	13.399654	12.939971	12.610593	0.02848	0.096645	0.0	16.159266	14.095218	13.186241	12.78754	12.452226	0.02875	0.091124	0.0
31	587741534400217110	587741534400217409	1237667255625121798	587741534400217128	12376672556251217971	26.542086	20.670029	19.666117	19.481039	21.177605	0.0	0.361447	0.0	16.6001	15.279026	14.632411	14.333795	14.073285	0.02306	0.069437	0.0	22.281744	25.055696	24.758307	24.340385	20.774479	0.0	0.120084	0.0	17.063908	15.26247	14.449808	14.123817	13.7938	0.023338	0.075182	0.0
32	587741602030026825	587741602030026825	1237667323254931594	587741602030027618	12376673232549315422	14.767146	13.616368	13.08848	12.818256	12.70585	0.011538	0.066094	0.0	14.564892	13.495957	12.888554	12.608364	12.294415	0.011504	0.087747	0.0	25.898613	23.770998	22.204597	21.350054	20.578018	0.0	0.465503	0.0	24.155054	24.106045	23.424711	24.188959	22.948587	0.0	0.352622	0.0
33	587741722819493915	587741722819493922	1237667444044398611	587741722819493929	12376674440443986133	20.241907	17.806376	17.643927	17.004215	15.54701	0.0	0.166741	0.0	15.807329	13.986635	13.186873	12.789204	12.535959	0.0	0.0	0.0	22.723295	25.008482	24.731007	24.294167	19.349205	0.0	0.26218	0.0	16.762064	15.312186	14.605722	14.220948	13.899613	0.0	0.0	0.0
34	587741817851674654	587741707794382901	1237667429019287594	587741817851674657		22.264801	21.346996	20.624681	19.870365	19.677259	0.0	0.23699	0.0	16.600264	14.762377	13.955488	13.56163	13.25415	0.029168	0.042753	0.0	24.467939	22.285309	22.41692	22.842894	21.628386	0.0	0.060068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35	587741829658181698	587741829658181698	1237667550883086400	587741829658181697	12376675508830864035	18.167591	17.588421	17.119143	17.052107	16.693384	0.020104	0.253455	0.0	15.596467	14.511413	13.985168	13.728286	13.52401	0.020111	0.047291	0.0	16.135996	14.600714	13.898049	13.57516	13.278511	0.0	0.052238	0.0	22.081461	20.360275	20.219967	20.668175	22.652163	0.0	0.111312	0.0
36	587742010583941189	587742010583941189	1237667731808845852	587742010583941190	12376677318088458586	14.458256	12.567948	11.755517	11.330348	11.033804	0.0	0.059519	0.0	14.227178	12.38958	11.546642	11.149734	10.877896	0.0	0.062429	0.0	15.671105	14.772502	14.252415	14.140413	13.921826	0.00714165	0.025618	0.0	15.611023	14.677191	14.192951	14.099245	13.848595	0.007093393	0.130353	0.0
37	587742014353702970	587742014353702970	1237667735578607673	587742014353702971	12376677355786076727	15.491549	14.224872	13.685184	13.395557	13.196534	0.0	0.055553	0.0	15.583952	14.357177	13.780656	13.476328	13.274217	0.023868	0.071948	0.0	15.997784	14.921208	14.41835	14.115794	13.785666	0.023908	0.050088	0.0	16.175573	15.193167	14.630973	14.342325	13.999422	0.0	0.0	0.0
